42,2,Sep 3 2016,5:30 PM,Sat,(18) Georgia,33,,(22) North Carolina,24,ESPN,Georgia Dome - Atlanta Georgia
43,2,Sep 3 2016,6:00 PM,Sat,Georgia Southern,54,,Savannah State,0,ESPN3,Allen E. Paulson Stadium - Statesboro Georgia
44,2,Sep 3 2016,7:30 AM,Sat,Georgia Tech,17,,Boston College,14,ESPN2,Aviva Stadium - Dublin IRL
45,2,Sep 3 2016,12:00 PM,Sat,(15) Houston,33,,(3) Oklahoma,23,ABC,NRG Stadium - Houston Texas
46,2,Sep 3 2016,3:30 PM,Sat,Illinois,52,,Murray State,3,BTN,Memorial Stadium - Champaign Illinois
47,2,Sep 3 2016,3:30 PM,Sat,(17) Iowa,45,,Miami (OH),21,ESPNU,Kinnick Stadium - Iowa City Iowa
48,2,Sep 3 2016,7:00 PM,Sat,Kansas,55,,Rhode Island,6,ESPN3,Memorial Stadium - Lawrence Kansas
49,2,Sep 3 2016,7:00 PM,Sat,Louisiana-Monroe,38,,Southern,21,ESPN3,Malone Stadium - Monroe Louisiana
50,2,Sep 3 2016,12:00 PM,Sat,Maryland,52,,Howard,13,BTN,Maryland Stadium - College Park Maryland
51,2,Sep 3 2016,7:00 PM,Sat,Memphis,35,,Southeast Missouri State,17,ESPN3,Liberty Bowl Memorial Stadium - Memphis Tennessee
52,2,Sep 3 2016,6:00 PM,Sat,Miami (FL),70,,Florida A&M,3,,Hard Rock Stadium - Miami Gardens Florida
53,2,Sep 3 2016,12:00 PM,Sat,(7) Michigan,63,,Hawaii,3,ESPN,Michigan Stadium - Ann Arbor Michigan
54,2,Sep 3 2016,7:00 PM,Sat,Middle Tennessee State,55,,Alabama A&M,0,,Johnny "Red" Floyd Stadium - Murfreesboro Tennessee
55,2,Sep 3 2016,12:00 PM,Sat,Navy,52,,Fordham,16,CBSSN,Navy Marine Corps Memorial Stadium - Annapolis Maryland
56,2,Sep 3 2016,8:00 PM,Sat,Nebraska,43,,Fresno State,10,BTN,Memorial Stadium - Lincoln Nebraska
57,2,Sep 3 2016,12:00 PM,Sat,New Mexico,48,,South Dakota,21,,
58,2,Sep 3 2016,8:00 PM,Sat,Northern Iowa,25,@,Iowa State,20,,Jack Trice Stadium - Ames Iowa
59,2,Sep 3 2016,12:00 PM,Sat,(6) Ohio State,77,,Bowling Green State,10,BTN,Ohio Stadium - Columbus Ohio
60,2,Sep 3 2016,3:30 PM,Sat,(21) Oklahoma State,61,,Southeastern Louisiana,7,,Boone Pickens Stadium - Stillwater Oklahoma
61,2,Sep 3 2016,5:00 PM,Sat,(24) Oregon,53,,California-Davis,28,PAC12,Autzen Stadium - Eugene Oregon
62,2,Sep 3 2016,3:30 PM,Sat,Penn State,33,,Kent State,13,BTN,Beaver Stadium - University Park Pennsylvania
63,2,Sep 3 2016,1:30 PM,Sat,Pittsburgh,28,,Villanova,7,,Heinz Field - Pittsburgh Pennsylvania
64,2,Sep 3 2016,12:00 PM,Sat,Purdue,45,,Eastern Kentucky,24,ESPNN,Ross Ade Stadium - West Lafayette Indiana
65,2,Sep 3 2016,3:30 PM,Sat,Richmond,37,@,Virginia,20,,Scott Stadium - Charlottesville Virginia
66,2,Sep 3 2016,8:30 PM,Sat,San Diego State,31,,New Hampshire,0,,Qualcomm Stadium - San Diego California
67,2,Sep 3 2016,12:00 PM,Sat,South Alabama,21,@,Mississippi State,20,SECN,Davis Wade Stadium - Starkville Mississippi
68,2,Sep 3 2016,7:00 PM,Sat,South Florida,56,,Towson,20,ESPN3,Raymond James Stadium - Tampa Florida
